Start Date,Type,Nights,Currency,Amount,Host Fee,Cleaning Fee
8/4/2017,Reservation,2,USD,425.54,13.16,130
8/6/2017,Reservation,2,USD,346.1,10.7,130
8/11/2017,Reservation,2,USD,468.51,14.49,150
8/18/2017,Reservation,2,USD,555,17,130
8/25/2017,Reservation,2,USD,472.39,14.61,150
9/1/2017,Reservation,2,USD,582,18,150
9/15/2017,Reservation,2,USD,546,17,150
9/28/2017,Reservation,2,USD,523.8,16.2,150
10/1/2017,Reservation,3,USD,457.84,14.16,150
10/11/2017,Reservation,2,USD,320.1,9.9,150
10/16/2017,Reservation,3,USD,407.4,12.6,150
10/20/2017,Reservation,2,USD,453.86,14.04,150
11/3/2017,Reservation,2,USD,166.84,1.8,0
11/7/2017,Reservation,8,USD,1282.58,39.67,150
11/16/2017,Reservation,4,USD,738.17,22.83,150
11/22/2017,Reservation,3,USD,776.97,24.03,150
12/14/2017,Reservation,3,USD,525.74,16.26,150
12/22/2017,Reservation,7,USD,1428.08,44.17,150
12/30/2017,Reservation,2,USD,829.35,25.65,150
1/4/2018,Reservation,2,USD,465.6,14.4,150
1/10/2018,Reservation,7,USD,1184.37,36.63,150
1/18/2018,Reservation,2,USD,438.44,13.56,150
1/22/2018,Reservation,13,USD,2333.09,72.16,150
2/9/2018,Reservation,3,USD,723.62,22.38,150
2/14/2018,Reservation,13,USD,2410.93,74.57,150
2/28/2018,Reservation,20,USD,6596.97,204.03,150
3/21/2018,Reservation,10,USD,2253.07,69.68,150
4/3/2018,Reservation,8,USD,1498.65,46.35,150
4/12/2018,Reservation,4,USD,5170.1,159.9,150
4/20/2018,Reservation,3,USD,1891.5,54.32,0
4/26/2018,Off Site - Reservation,4,USD,3000,,0
5/4/2018,Reservation,4,USD,742.05,22.95,150
5/10/2018,Reservation,2,USD,416.13,12.87,150
5/13/2018,Reservation,2,USD,352.11,10.89,150
5/18/2018,Reservation,2,USD,518.95,16.05,150
5/21/2018,Reservation,11,USD,1390.25,43,150
6/3/2018,Reservation,3,USD,523.8,16.2,150
6/8/2018,Off Site - Reservation,2,USD,410,,150
6/13/2018,Reservation,2,USD,339.5,10.5,150
6/15/2018,Reservation,3,USD,565.51,17.49,150
6/24/2018,Reservation,2,USD,339.5,10.5,150
6/28/2018,Reservation,2,USD,398.67,12.33,150
6/30/2018,Reservation,2,USD,396.73,12.27,150
7/3/2018,Reservation,2,USD,343.38,10.62,150
7/6/2018,Reservation,2,USD,480.15,14.85,150
7/9/2018,Reservation,2,USD,339.5,10.5,150
7/14/2018,Off Site - Reservation,2,USD,450,,150
7/15/2018,Reservation,2,USD,374.42,11.58,150
7/20/2018,Reservation,2,USD,461.72,14.28,150
7/25/2018,Reservation,7,USD,910.83,28.17,150
